LIMIT_BAL,GENDER,MARRIAGE,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
80000,2,2,52,73056,74736,65581,63939,65278,66578,2953,2333,2288,2369,2385,2458,YES
250000,2,1,37,215928,221963,224949,229577,234221,238960,9510,8160,8364,8493,8625,8737,NO
230000,2,1,41,1886,8013,3962,1410,1410,1410,8034,4007,0,1410,1410,1410,NO
130000,1,1,40,80987,79085,82799,86407,88959,97487,0,5000,5000,4000,10000,3724,YES
390000,2,2,28,125863,131249,119175,115922,101725,90334,10053,5028,5045,3012,3000,5572,NO
360000,2,2,27,0,750,-2,468,-8,2496,750,2,470,0,2504,1153,NO
200000,2,2,33,11253,12852,14024,14512,16325,11905,2000,1322,2000,2000,1200,3000,NO
30000,1,2,26,-857,29237,1170,780,10500,0,30484,0,0,10500,0,0,NO
100000,2,2,25,0,460,0,85,60,520,460,0,85,60,520,0,NO
400000,2,2,35,1432,8125,7017,10525,13295,11024,8132,7018,10542,13378,11045,6666,YES
110000,2,2,25,2729,4382,1972,1426,5660,5660,4340,5,1426,5660,0,0,YES
20000,1,2,25,14193,16489,15936,18015,17431,18000,2850,0,2355,0,1000,900,YES
180000,2,2,34,59076,50505,38547,63249,51437,45279,3000,3000,33000,2000,2000,2000,NO
30000,2,2,25,14149,15171,14635,15318,14930,16562,1543,0,1226,0,1882,0,YES
70000,1,2,39,33521,36303,37424,38512,37596,39877,3350,2000,2000,0,3055,1700,YES
30000,2,2,36,23338,25747,25048,26060,26578,27133,3120,0,1433,951,983,1099,YES
340000,2,1,57,-8,-8,-8,-8,1595,-5,0,0,0,1603,0,0,YES
80000,1,2,44,77156,77494,77438,67054,60270,56138,3000,2734,2215,4000,2036,2121,NO
150000,2,2,26,205467,195764,197085,202517,56898,58262,6000,6000,6000,5000,2000,2000,NO
390000,1,1,49,282849,281836,284397,284241,285615,282611,12000,13000,12000,12000,10266,9800,NO
160000,2,1,36,-20,-20,3640,2935,1603,14129,0,3660,3135,1650,14200,1500,YES
80000,2,1,39,83482,80406,71540,68325,65105,62011,2900,2340,2300,2289,2500,1551,NO
30000,2,2,36,2114,490,30452,29667,28596,29180,490,33299,1400,572,584,400,NO
20000,2,1,29,19098,19953,18756,19968,15333,10056,1474,0,2403,0,6000,0,NO
40000,2,1,25,21590,24326,23642,25936,25384,26905,3400,0,3000,0,2100,0,YES
500000,2,2,43,3959,0,285138,249445,222831,200,0,285138,4989,100,200,528666,NO
140000,2,1,30,93157,96304,98007,82227,65000,60848,4700,4505,12906,0,2210,2300,NO
170000,1,1,50,152495,155698,159029,160628,162808,163364,7200,7300,5700,6300,3300,9300,NO
90000,2,1,40,40467,41495,42520,42997,41698,43976,2000,2000,1800,0,3434,1708,NO
450000,2,2,37,37070,17596,24965,0,1649,5212,17596,24965,0,1649,5212,535,NO
20000,1,2,22,20433,19302,19276,19451,19641,20188,0,2100,1000,1000,1000,1000,NO
120000,2,2,32,5152,4529,890,890,3040,1000,1015,890,890,3040,0,1580,NO
50000,2,1,39,38506,36749,32159,25145,17331,17901,2008,3000,2000,1000,1000,1000,NO
300000,1,1,35,91282,45885,35329,29368,18833,93329,3260,2240,1505,1250,80934,2700,NO
30000,2,1,41,25594,21485,22320,23933,22742,2500,0,1300,5000,945,1850,1060,YES
260000,2,1,37,182249,181433,180660,179052,177072,175285,6107,6501,6005,5805,5909,6106,NO
20000,2,1,45,21646,24390,23719,23936,23253,25871,3400,0,900,0,3000,2000,YES
80000,2,1,35,70002,71389,73788,74463,72834,74190,3100,4204,2790,0,3043,2625,YES
50000,1,1,36,14668,17194,13948,12165,10242,8428,2800,0,500,360,500,125,NO
10000,1,2,24,2736,4050,5426,6743,8544,9858,3000,2000,2000,2000,2000,1000,NO
30000,1,2,34,29302,30052,29349,29476,30014,29785,1530,1416,1142,1102,1106,3450,NO
280000,1,2,39,273651,279296,282851,251648,255697,261691,11128,11234,11002,10000,10000,10000,NO
280000,1,1,43,149803,131171,132165,133948,133070,135089,6150,6256,6275,5012,5363,4000,NO
50000,1,2,40,26566,14851,4013,2027,15090,14078,3000,1000,41,30525,477,688,NO
30000,2,2,25,415,150,150,150,150,150,150,0,0,0,0,0,NO
50000,1,2,22,49718,50362,49904,50405,29795,28383,1786,2000,1500,2200,0,1100,NO
140000,2,1,54,-150,-150,-150,-150,-150,-150,0,0,0,0,0,0,YES
130000,2,1,38,64517,64254,66103,61549,62389,58782,3000,3500,3000,2500,2000,2000,NO
90000,2,2,27,97973,100442,89242,82784,53609,49048,12500,2,5085,5000,3000,1004,YES
150000,1,2,28,88609,4635,2160,-2,-2,-2,4660,2166,0,0,0,901,NO
30000,2,2,22,23892,28459,25499,25778,28708,30520,5300,0,1000,3352,2300,0,NO
80000,2,2,33,17254,811,1533,722,811,337,1000,1533,0,900,337,1000,NO
150000,1,2,51,3958,3146,2651,2465,4108,4703,3146,2659,2472,4116,4703,4708,NO
370000,2,1,47,1859,2232,4556,4333,2504,3431,2243,4578,4354,2516,3438,37467,NO
130000,2,1,47,2317,29,2595,1030,-1121,-2452,3000,3000,1000,897,0,2003,YES
80000,1,1,29,80832,40283,317,401,34985,37004,2000,450,500,35000,3000,2000,NO
180000,1,2,33,48252,39451,20027,15000,14958,-42,9024,1104,15000,14958,0,0,NO
40000,1,1,55,-150,-540,-930,-1320,-1710,-2100,0,0,0,0,0,0,YES
20000,1,2,24,12188,12904,14217,14360,16140,16287,1220,1533,676,2177,559,0,YES
170000,1,2,32,69013,67397,69518,70616,79267,84140,0,3800,2800,10000,6129,0,NO
360000,2,2,30,780,780,390,3115,8069,390,390,0,3115,8069,390,5716,NO
80000,2,1,45,34282,35006,34144,34820,35553,36258,1567,0,1243,1291,1297,1500,YES
90000,2,2,26,86335,88520,90311,91431,92840,91205,4500,4100,3500,3800,0,3500,NO
320000,2,1,38,0,0,0,0,0,0,0,0,0,0,0,0,YES
70000,2,1,53,70659,61100,62497,47581,48805,50018,3000,3200,2000,2000,2000,2000,YES
260000,1,1,43,99523,76712,55185,82040,60867,59005,3514,3049,58312,3018,3020,1511,NO
90000,2,1,48,316,316,316,316,316,316,316,316,316,316,316,316,YES
300000,2,2,27,4850,42189,83754,120927,105303,82475,42198,83754,120927,0,716,25213,NO
160000,2,1,28,4529,4269,1170,780,780,0,0,0,0,0,0,0,YES
180000,1,1,43,171992,175427,150965,71478,72955,74426,6099,4427,1949,2007,2030,2000,NO
110000,2,1,55,632,316,0,632,316,632,0,0,948,0,632,0,NO
70000,2,1,44,68687,69531,71271,70712,50793,50605,2545,2918,6329,1996,1977,1975,NO
30000,2,2,41,1448,1261,630,240,690,150,1261,630,0,840,0,780,NO
500000,2,2,38,74615,74399,68761,70260,70143,68506,4010,6720,5000,5000,4000,5000,NO
80000,1,1,45,8133,10978,10511,11529,12332,13128,3000,0,1200,1000,1000,1000,YES
120000,1,2,32,60316,61763,63154,64524,66345,68104,3000,3000,3000,3000,3000,0,YES
50000,2,2,29,10532,13145,12637,13922,13556,14528,2800,0,1500,0,1200,0,YES
70000,2,2,23,39935,40973,41989,42823,43718,45203,1683,1699,1533,1585,2210,1875,NO
80000,1,1,44,1798,2302,1604,3612,2608,1604,2310,1100,3612,600,600,1631,NO
150000,1,2,30,147112,122159,125470,119007,101928,103989,4518,6000,4055,13980,4000,3950,NO
360000,2,2,52,640,2113,-6,999,944,-3,2231,0,1005,948,0,789,NO
30000,1,2,25,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,YES
140000,2,2,26,93384,93443,57219,57621,48323,45082,3514,3000,2000,2000,1636,1686,NO
80000,1,2,30,5092,4623,1944,15361,13286,5848,4623,1963,15361,13286,5848,0,NO
170000,2,1,40,193,3760,3500,7190,9000,0,3760,0,7190,9000,0,0,YES
90000,2,2,26,89526,89149,85301,65463,65923,67269,3400,3325,2300,2400,2400,2400,YES
230000,2,2,23,1090,490,0,878,0,0,0,0,878,0,0,0,YES
90000,2,2,33,33035,34178,36133,38240,37325,39725,2000,2500,3000,0,3000,2000,YES
150000,2,2,27,146778,139111,134382,134593,91112,68482,6554,10000,4749,3304,2285,700,NO
20000,1,2,34,6569,6939,4679,2960,0,0,2449,0,1000,0,0,0,NO
300000,1,2,31,40779,5401,2444,578,390,1424,5401,2444,578,390,1424,390,NO
80000,2,2,23,50456,30342,27591,28166,28330,28524,1432,1476,1441,995,1021,1138,NO
400000,2,2,29,19532,3719,1453,4944,1896,2486,3127,1469,4968,1905,2494,862,NO
390000,1,1,64,38383,38134,38679,39689,40472,41320,1608,1647,1657,1440,1496,1518,NO
30000,2,2,25,28709,28649,29619,30224,27326,30297,1462,1589,1351,2500,4000,1500,YES
80000,2,1,47,6612,7118,7930,6674,6810,0,1188,1000,133,136,0,1407,YES
160000,1,1,42,14137,13613,14634,16532,15969,17701,0,1247,2145,0,2000,0,YES
120000,2,2,30,711,878,1131,441,441,441,878,1131,441,441,441,455,YES
150000,2,2,34,1467,698,4102,713,810,5438,701,4137,719,817,5467,9587,NO
60000,1,1,37,30010,34169,38551,42922,47245,44208,5000,5000,5000,5000,0,10000,NO
30000,2,2,22,27332,26600,27832,26897,27278,27851,0,2006,2000,1100,1137,1300,NO
120000,1,2,35,90972,93452,95943,99340,101783,104929,4000,4000,5000,5000,5000,3400,NO
30000,2,2,24,2880,3285,2280,248,248,-150,3285,0,248,0,0,0,YES
70000,1,1,42,70730,58103,68197,50756,50843,46727,3500,15000,3000,2000,1840,1798,NO
200000,2,1,29,81568,81876,82617,83284,64520,54178,3500,3000,2500,3000,2000,2000,NO
20000,1,0,29,1800,1800,1800,1800,1800,1800,0,0,0,0,0,0,NO
100000,1,1,33,94257,78728,65747,67046,69938,74800,0,3100,3000,4000,6000,0,YES
50000,1,2,40,43530,43344,46616,48872,19981,16554,2000,4000,4500,2000,1000,3000,YES
200000,2,2,45,2377,221,0,0,0,0,221,0,0,0,0,0,NO
120000,2,1,54,67094,69010,70683,71504,73230,73613,3000,3000,2300,2600,2500,1500,NO
20000,2,2,22,8628,8350,8076,7798,8110,10194,0,0,0,441,2368,0,YES
140000,2,2,27,118013,123630,128308,125776,123659,131290,9044,8200,1000,0,9874,0,NO
150000,1,2,31,148815,148090,133619,127043,112067,39901,5147,4900,4677,4707,1700,1000,NO
30000,1,2,30,29993,29890,28561,-229,23930,26655,1856,1000,1698,24860,3500,3000,NO
80000,2,2,28,71834,70194,71912,69776,70985,72444,3200,3500,3000,2500,2500,2500,NO
80000,1,2,38,54809,55944,57075,57745,59099,60489,2612,2655,2214,2435,2669,16981,NO
110000,2,2,27,8086,8848,9283,8950,8943,333,1232,1000,0,326,333,12425,NO
330000,1,1,54,0,41219,374,0,15900,8601,41219,374,0,15900,8601,38000,NO
300000,2,1,29,1825,2017,2476,5797,1542,1256,2017,2476,5797,0,1256,23265,NO
110000,1,2,28,10817,10988,8033,7262,9612,6747,3000,0,2000,5000,0,1646,YES
200000,2,1,29,70422,67991,56909,56841,51245,42268,3500,2472,1683,1755,1658,3579,NO
230000,1,1,33,0,1427,0,198,0,525,1427,0,198,0,525,0,NO
20000,1,2,38,12248,15023,16773,18394,19268,14850,3000,2000,2000,2000,1003,904,NO
240000,1,1,35,18079,6315,37046,0,1894,1894,6315,37046,0,1894,0,0,NO
320000,2,1,34,65083,23750,22381,14685,7511,6722,23750,10162,14702,7511,6722,10000,NO
200000,1,2,30,83149,94976,106808,115702,122236,134013,13550,13590,12356,12500,14013,4900,NO
360000,1,1,45,0,709,0,0,0,0,709,0,0,0,0,0,NO
90000,1,2,31,32581,36525,35660,36436,33548,32061,4500,0,3000,10000,2000,2000,NO
220000,2,2,50,216194,222220,225648,-2,-2,-2,11000,10050,2,0,0,0,NO
180000,1,2,28,666,662,-4,55566,1056,390,662,0,61411,1056,0,1998,NO
10000,1,2,33,0,0,0,0,0,0,0,0,0,0,0,0,NO
50000,1,1,57,51187,50106,48608,19600,20000,0,0,0,392,400,0,0,NO
150000,1,2,49,86035,86414,87852,88692,90211,91543,3090,3218,3196,3360,3310,3573,NO
220000,1,2,35,0,0,0,0,0,0,0,0,0,0,0,0,NO
220000,1,1,32,8000,8288,8000,0,8000,0,8288,8000,0,8000,0,0,NO
100000,1,1,60,8311,8031,5790,3860,2599,2712,0,0,0,0,2712,0,NO
50000,1,2,28,28129,29184,28421,28751,30685,30040,1800,0,1100,2400,0,1500,YES
500000,2,1,38,105587,105478,100026,86265,67539,53676,3627,3059,2670,2331,2406,1645,NO
220000,1,2,30,18301,20161,24621,17125,18378,1344,2026,10040,1000,1253,1350,4416,NO
30000,2,2,21,30769,29559,29197,29488,0,0,0,1000,590,0,0,0,NO
320000,1,2,41,309805,237915,235917,227714,154939,102338,15818,10049,10015,14939,4338,5267,NO
100000,1,2,27,100751,99777,99479,94028,14578,33254,3592,4252,2620,408,26130,653,NO
90000,1,1,34,53105,54154,55683,56798,58508,63177,2525,3000,2637,3242,6783,0,NO
320000,2,2,30,10283,2488,5187,11735,2280,9404,2488,5209,11735,2280,9404,3660,NO
250000,2,2,39,12368,1742,40292,39600,21304,1185,1742,39600,7,1185,0,54416,NO
20000,1,2,24,15886,16337,16470,10195,11195,11995,2500,800,1500,1000,800,6720,NO
70000,2,2,25,64822,61851,62007,38391,38996,39819,2502,2075,2000,1541,1600,2000,NO
210000,1,2,35,326,326,326,326,326,326,326,326,326,326,326,326,NO
450000,1,1,66,-81,15029,-1318,-9157,-20753,-22680,15110,40,258,9,23,27,NO
400000,2,1,40,30179,35550,71671,-329,65691,23657,35729,72031,0,66020,23776,32948,NO
170000,1,1,60,170359,178514,98196,100108,95629,89472,11700,3600,3500,3500,3300,3500,YES
190000,2,2,27,3902,4686,5459,6214,7104,8973,1000,1000,1000,1000,2000,2000,YES
360000,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,NO
150000,1,2,35,66662,61331,56523,56737,51005,47471,2116,2549,2406,2000,1655,2111,NO
360000,2,2,54,217936,202845,177252,165622,167824,156851,8880,7992,5627,5554,5456,5445,NO
60000,2,1,40,60211,55996,54178,44518,28636,28957,3000,2000,2000,3000,1300,1100,NO
80000,2,2,29,16936,17963,18976,19660,20343,21003,1303,1316,1000,1000,1000,933,YES
200000,2,2,29,27869,5531,6781,12162,12410,12410,5531,6781,12162,248,0,1703,NO
310000,2,1,50,316,316,6464,7016,4351,17016,316,6464,1000,4351,17016,1206,NO
200000,2,1,35,188096,171535,167877,128550,131511,127781,8000,6700,5000,5100,4700,4800,YES
200000,2,1,35,25663,14224,17560,3300,1920,2731,14224,17560,3300,1920,2731,0,NO
20000,2,1,43,390,0,780,390,390,0,0,1170,0,390,0,780,NO
270000,2,2,27,9112,6035,3687,0,887,690,6035,0,0,887,690,6331,NO
260000,2,2,27,19713,22378,24836,32816,42816,8938,3000,3000,10000,10000,8938,2000,YES
70000,1,1,36,33050,34100,21351,19837,19273,13900,5000,2000,3000,4000,10000,10000,NO
460000,1,1,40,235388,213905,217909,195811,199712,203895,8000,7500,7100,7100,7342,8000,NO
260000,2,1,34,199,598,400,199,1117,922,599,2,200,1118,5,459,NO
290000,1,2,32,23234,1571,108157,35379,18711,3110,1575,108168,35811,18711,0,157,NO
100000,2,1,39,29449,55139,34181,12592,71340,32453,55139,34181,12592,71340,32453,37035,NO
140000,2,2,28,31,1272,1446,2880,1914,968,2000,1500,3000,1914,0,3287,YES
290000,1,1,39,-9,698,728,-2,-2,-2,707,730,0,0,0,0,YES
200000,1,2,42,163340,168701,172074,173907,184067,180612,8000,8000,6500,13500,0,7000,NO
260000,2,2,36,7740,1445,782,790,849,12319,1445,782,790,849,12319,7575,NO
180000,1,2,41,105347,66897,49287,4130,238,0,6241,2324,1019,1,0,1452,NO
170000,1,2,26,164408,153323,152429,154704,96724,73916,5700,7400,5600,4500,3000,3500,YES
30000,2,2,25,26568,27456,27915,27185,28806,28208,1600,1200,0,2200,0,2500,NO
150000,2,2,46,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,YES
150000,1,2,26,29712,28045,31732,26989,33624,29786,3200,6300,0,10000,2000,2000,NO
200000,1,1,55,181339,177233,188461,191363,188683,196057,0,14000,7000,0,10000,5000,YES
50000,2,1,42,30640,31546,28405,27959,27785,28123,1746,1800,1729,945,1149,1200,NO
100000,2,2,25,87987,86380,88597,84861,69750,47394,4000,3900,3000,2000,2000,2000,NO
150000,2,2,24,63486,66741,744,5714,809,2315,4330,3,5762,813,2318,1616,YES
50000,2,1,59,47822,36488,36811,13234,11543,10751,2009,2000,556,378,619,5000,NO
90000,2,2,25,65924,58210,60050,61448,73852,72551,3000,2771,3000,13500,0,3000,YES
50000,2,1,37,1894,3200,3381,3559,1948,2415,1500,400,200,500,500,400,YES
50000,2,1,33,40669,43102,44313,45286,44256,47549,3424,2200,2000,0,4000,2300,YES
220000,2,2,32,93682,96466,99009,100462,102614,104806,4337,5000,4000,3824,4000,4000,NO
200000,2,2,49,7697,18951,27974,30596,38109,22170,20071,20036,15022,15113,22235,3919,NO
120000,2,2,24,32317,33496,34481,30102,30220,33523,2000,2000,2000,3000,6000,0,NO
120000,1,1,34,1082,632,1350,900,450,0,0,1350,0,0,0,450,NO
30000,1,2,29,13172,7965,3101,3126,7365,3245,1082,1000,3126,7365,0,828,NO
290000,2,1,34,53437,44037,5441,7371,38832,41955,1274,1200,2033,38832,3900,188423,NO
150000,2,1,47,0,0,0,0,0,0,0,0,0,0,0,0,NO
250000,2,2,47,7363,27415,0,1930,1643,1687,27474,0,1930,1643,1687,0,NO
90000,2,2,33,80919,87993,17316,18026,18559,19097,9000,1500,1000,824,1000,857,NO
140000,2,2,27,134936,137328,138767,137231,128228,110803,6700,6704,5000,4155,4100,3600,NO
50000,1,1,50,47053,11165,12186,13280,14055,14428,1200,1206,1300,1000,600,530,YES
90000,1,1,39,26493,30034,29268,31776,32456,31800,4000,0,3000,1500,0,2600,YES
300000,1,1,27,11645,13450,11671,12888,17915,18923,3513,2012,3902,7924,2932,2077,NO
30000,2,2,45,0,0,0,0,300,390,0,0,0,300,390,930,NO
80000,1,1,52,77185,80311,81558,78761,71352,19674,5000,3100,0,2000,713,1500,YES
50000,2,2,36,81793,84360,89215,93908,14308,14808,2682,5000,5000,1000,500,302,NO
360000,1,1,50,1858,0,0,3000,0,0,0,0,3000,0,0,1033,NO
50000,2,2,27,51076,50816,47977,34783,20570,20047,2223,1572,1700,1739,0,225,NO
90000,2,2,26,88103,90951,92226,89817,87296,89130,8300,3600,0,3300,3400,4000,YES
50000,2,1,43,7965,12717,11016,22263,18711,12712,12724,11022,22264,378,258,5380,NO
30000,2,1,31,20494,19867,21045,24681,23985,25099,0,1500,4000,0,1500,6000,NO
470000,2,2,40,277185,282983,290274,294508,300646,306652,10257,11982,10536,10879,10971,11326,NO
80000,1,1,41,79950,82956,83656,84457,83897,80159,4900,3000,3000,3100,0,11000,YES
200000,1,2,30,24853,24065,19153,20606,21032,89162,3158,3007,3014,2007,70012,4037,NO
250000,2,2,30,144807,162326,168186,175369,178156,189259,20000,10000,10000,7200,14000,7200,NO
80000,2,2,24,70411,75874,76710,74792,79636,77757,6657,2629,0,6000,0,3000,NO
190000,2,2,26,51799,50667,52175,51159,54225,54826,0,2500,0,4308,1500,2000,NO
300000,2,2,30,0,0,0,0,0,0,0,0,0,0,0,0,YES
100000,2,2,28,101080,87572,92041,75461,74233,76543,0,7690,0,2800,5700,0,NO
200000,1,2,48,111664,113884,116545,120396,121486,121518,4080,4500,5800,4500,5000,5000,NO
50000,2,1,54,16648,16200,15622,14277,12930,11657,1588,1483,611,458,403,351,NO
310000,2,2,35,192454,196708,189210,181491,176661,173532,9088,7044,9072,11210,6116,5362,NO
40000,2,1,36,24230,25840,27556,27447,26254,29645,2000,2500,1500,1500,4000,0,NO
150000,2,2,32,35601,36488,35729,38117,37259,33010,2003,2000,3419,13,2088,9,NO
100000,2,2,25,97271,88596,89218,63243,42510,41221,0,4950,2400,1200,1400,1203,YES
300000,2,1,40,1529,3717,4541,5620,25,25,3717,4541,5620,25,0,7140,NO
160000,2,2,39,30633,37119,36263,43481,43515,49619,7000,0,7847,1026,7000,7968,YES
490000,1,1,49,19107,10190,10149,76760,8879,16705,10238,10191,77163,8921,16786,27662,NO
30000,2,2,23,15947,15410,14881,14124,14172,1270,0,0,0,48,0,0,NO
370000,2,1,41,1442,9750,0,30100,0,0,9750,0,30100,0,0,0,NO
80000,2,1,53,37242,37634,38281,38993,39268,39620,2000,2000,2000,2000,1408,1300,NO
80000,2,2,31,1068,0,100,0,1050,-150,0,100,0,1050,0,0,YES
150000,1,2,27,61606,61950,200,51099,24487,17624,5000,200,52399,5063,1500,2200,NO
60000,2,2,31,7233,1596,1562,0,0,0,1596,1562,0,0,0,0,NO
20000,2,2,31,1550,1550,1826,6497,8185,3755,1550,1826,6497,8185,3755,3220,NO
220000,1,1,48,2858,1929,10417,9363,7898,5758,1000,10417,1061,525,0,313,NO
140000,1,1,48,80740,82439,84125,85968,88679,99558,3000,3060,3241,4264,12400,0,NO
90000,1,2,35,941,3008,1882,941,266,-675,3008,200,0,266,0,3264,YES
80000,1,2,29,79048,80676,78311,80777,79306,79195,3000,3100,7000,3200,3500,3200,NO
450000,1,1,45,201015,177028,136434,126121,115050,105901,10000,6000,5087,5000,5000,5000,NO
140000,1,2,31,4900,393,0,814,0,0,393,0,814,0,0,0,NO
100000,2,1,39,1884,0,0,0,0,0,0,0,0,0,0,0,NO
260000,2,2,26,164351,164244,158124,62373,746,-45734,7000,5115,2000,746,5025,54836,NO
120000,1,2,29,0,326,326,652,326,326,652,326,652,0,326,326,YES
30000,1,1,36,18811,18225,22630,21988,21057,25412,0,5000,0,0,5000,0,NO
140000,1,2,55,65640,66998,68201,68866,65781,66850,2800,3000,2500,2350,2400,2400,NO
180000,2,2,31,4582,1359,316,3072,2756,2440,1359,316,3072,0,0,316,YES
60000,2,2,48,53044,51158,29452,1696,38585,38884,1607,1675,1696,38000,1500,1400,NO
200000,2,2,42,73032,12928,88930,30000,67861,18929,12928,79365,30000,37861,18929,15004,NO
80000,1,1,52,27308,29536,31756,30946,31830,0,3000,3000,0,1700,0,0,NO
210000,2,2,35,209802,208421,190737,142271,137171,130687,8800,8023,4809,5001,5000,5000,NO
90000,2,2,29,9124,10220,12044,27847,8251,26501,10000,10016,25000,8000,26000,12000,NO
400000,2,1,39,52306,3638,11649,24140,5803,5937,3656,11713,24265,7832,5966,9363,NO
500000,1,1,44,367,15272,12925,75667,67609,71946,16652,76146,67697,67609,71946,14000,NO
30000,1,1,39,28628,29160,21075,17257,15874,9514,2003,2400,1200,317,190,0,NO
350000,1,1,47,301553,287780,295141,291422,279294,276594,0,21300,10000,0,9500,9500,YES
50000,2,2,41,3048,4063,5081,6090,6211,6342,1074,1092,1101,222,231,231,YES
250000,2,2,38,14766,990,8150,15410,1276,0,990,8150,15410,1276,0,0,NO
50000,1,1,41,49999,51043,51400,0,0,0,2263,2400,0,0,0,0,NO
240000,2,2,26,184501,177846,167934,169133,175175,146093,7627,6003,5504,10158,6000,6012,NO
70000,1,2,25,34700,21597,3340,0,0,0,21597,3340,0,0,0,8535,NO
140000,2,1,28,1953,1366,464,337,548,395,0,464,337,548,395,681,YES
200000,2,2,28,38783,62793,1286,1117,1117,0,26286,0,1117,1117,0,1128,NO
160000,2,1,40,661,2881,362,20680,7429,527,2881,362,20680,7429,527,0,NO
80000,2,1,40,5143,8351,3234,1819,1909,1909,6458,3917,1819,2299,1909,3069,NO
50000,2,1,25,11324,11811,13008,12540,10746,8482,1500,1433,1465,0,500,1000,NO
180000,2,2,30,63182,64274,55112,56394,57577,58564,2166,2002,2200,2242,2100,2330,NO
450000,2,1,39,810,1810,0,0,0,0,1000,0,0,0,0,1040,NO
90000,2,1,47,61066,62999,61388,64376,67347,74960,3500,0,4000,4000,8900,0,YES
330000,2,2,28,37637,38676,40786,41767,42501,43359,1500,2600,1500,1400,1400,1500,NO
20000,1,2,23,15789,16831,20404,19621,14051,0,1610,4183,0,281,0,0,YES
120000,2,2,34,67253,31954,16991,18730,21076,24134,1954,1991,3730,9076,4134,497,NO
130000,1,1,53,780,0,390,390,390,390,0,390,390,390,390,390,NO
170000,2,2,26,63977,63630,51986,90196,50464,48282,2550,0,3500,3000,2001,3000,NO
200000,2,2,25,1676,3122,2991,390,1211,390,4595,2991,0,1211,390,1112,NO
300000,2,2,30,8805,2186,0,290,707,161,2186,0,290,1209,0,7705,NO
130000,2,1,52,50662,51562,47928,45456,42704,2552,4600,0,1500,0,2000,0,NO
120000,1,1,50,38565,39997,39211,39917,42268,43192,2200,0,1500,3000,1600,1500,YES
180000,2,2,30,1490,3687,1352,960,4921,3031,3687,1352,960,4921,3031,2718,NO
20000,1,2,27,13384,14153,15417,16944,18992,15888,1300,1500,2000,2048,0,4500,YES
270000,2,2,31,9213,2283,3203,1144,1144,1144,1080,1000,1121,0,0,0,NO
170000,2,2,29,5539,337,11277,11277,14277,-47,1147,11477,0,3000,0,0,YES
50000,1,2,33,24060,17474,18297,20114,13235,12482,1400,1183,2000,1200,0,610,NO
80000,2,1,35,2227,3432,4416,5275,0,316,1250,1200,1000,0,316,31002,NO
40000,2,2,26,5678,9900,9592,10433,10521,10203,4500,0,1000,400,0,2200,YES
160000,2,2,27,0,418,0,0,0,0,418,0,0,0,0,0,YES
200000,2,1,43,171647,167478,178983,180784,184201,187467,0,14500,6400,7000,7000,7000,NO
150000,2,1,51,0,0,0,0,0,0,0,0,0,0,0,0,NO
180000,2,1,30,39259,41054,25590,5817,13623,-2202,3000,6000,1000,13623,388,77001,NO
120000,2,2,32,67876,69903,71446,79589,81354,83044,3120,3300,10000,3200,3200,10000,NO
190000,2,2,40,182923,183436,162537,157497,155297,153594,8059,7741,7201,4815,4927,5380,YES
80000,1,2,31,6887,171,1125,1613,0,4811,171,1125,1613,0,4811,0,NO
80000,2,2,24,386,1392,18634,5433,2053,5781,1396,18754,5449,2059,5798,3098,NO
50000,1,1,47,4759,4540,4284,2946,1473,1473,0,0,0,0,1473,1473,YES
50000,1,1,34,37699,35203,15360,15031,12173,11728,2000,2000,1150,2000,1000,1000,NO
10000,2,1,42,8710,9601,8810,7637,6307,4877,1200,1172,1000,500,400,3000,NO
50000,1,1,35,48047,46593,46945,21260,70,29575,0,2052,1800,0,29935,1200,YES
200000,1,1,45,98974,36829,31707,44433,4155,2114,10000,31727,44626,18,2124,9844,NO
80000,2,1,47,17401,8824,13261,6261,6261,6261,0,13261,6261,6261,6261,6261,NO
50000,1,2,27,-2900,-2900,-2900,-2900,-2900,-2900,0,0,0,0,0,0,NO
430000,1,2,35,5454,2316,12457,26522,28951,11057,2328,12799,27888,29023,12,2929,NO
50000,2,2,23,49971,51132,50608,37700,11325,9814,2303,2252,2498,372,500,365,NO
100000,2,1,33,23384,22722,24909,24210,26103,27554,0,2569,0,2287,2028,0,NO
80000,2,2,31,28788,27620,26352,939,2202,1369,8000,1000,939,2202,1369,4827,NO
440000,2,2,26,96190,90462,78267,71795,51812,25064,3513,3017,2037,2019,3010,3004,NO
300000,2,1,32,170379,142384,72350,0,0,0,6600,3750,0,0,0,0,NO
80000,2,1,43,71100,72066,71751,72034,73261,74479,10000,9000,9000,9000,9000,9500,NO
50000,2,2,22,30631,30479,28301,26829,27173,26424,4809,0,1200,1500,943,1142,NO
490000,1,2,42,455520,464727,477884,488808,427064,436172,16100,20000,19000,16000,16000,15000,NO
130000,2,2,27,106852,107599,109902,112635,114472,117556,4000,4030,4600,4200,5000,5000,NO
10000,2,1,49,32,-358,-748,1690,1138,930,0,0,2828,0,182,0,YES
